ABN MMS ID,Network Id,ABN035,Aleph ID,Network Number
990005344720108281,991109058029705501,(ABN)000534472ABN01,000534472-ABN01,(CH-ZuSLS)991109058029705501; (IDSLU)000498795ILU01; (NEBIS)005167174EBI01; 242578705; (swissbib)242578705-41slsp_network
990000810740108281,991084029989705501,(ABN)000081074ABN01,000081074-ABN01,(CH-ZuSLS)991084029989705501; (IDSLU)000096200ILU01; (NEBIS)002020009EBI01; 222898402; (swissbib)222898402-41slsp_network
990007699620108281,991159822519705501,(ABN)000769962ABN01,000769962-ABN01,(CH-ZuSLS)991159822519705501; (OCoLC)880707447; (IDSSG)000661909HSB01; (IDSLU)001184976ILU01; (IDSBB)006344892DSV01; (NEBIS)010223640EBI01; (RERO)R008632686-41slsp; 232775583; (swissbib)232775583-41slsp_network
990000738520108281,991006859539705501,(ABN)000073852ABN01,000073852-ABN01,(CH-ZuSLS)991006859539705501; (IDSLU)000016709ILU01; (IDSBB)000121621DSV01; (NEBIS)005272959EBI01; 226789586; (swissbib)226789586-41slsp_network
990005494200108281,991141385099705501,(ABN)000549420ABN01,000549420-ABN01,(CH-ZuSLS)991141385099705501; (SBT)000776280SBT01; (IDSBB)004906542DSV01; (IDSLU)000849881ILU01; (RERO)R005211437-41slsp; (NEBIS)005888890EBI01; 220133956; (swissbib)220133956-41slsp_network
990000476540108281,991156833059705501,(ABN)000047654ABN01,000047654-ABN01,(CH-ZuSLS)991156833059705501; (NEBIS)001425665EBI01; 138685886; (swissbib)138685886-41slsp_network
990003406010108281,991170905597405501,(ABN)000340601ABN01,000340601-ABN01,(CH-ZuSLS)991170905597405501; (ALEX)99696534101791; (ALEX)bv01123205
990007846310108281,991067322109705501,(ABN)000784631ABN01,000784631-ABN01,(CH-ZuSLS)991067322109705501; (OCoLC)913606916; (DE-599)DNB1073212785; (IDSBB)006462670DSV01; (NEBIS)010552830EBI01; 217061303; (swissbib)217061303-41slsp_network
990002845680108281,991141927149705501,(ABN)000284568ABN01,000284568-ABN01,(CH-ZuSLS)991141927149705501; (IDSSG)000227827HSB01; (IDSLU)000202485ILU01; (RERO)R003000170-41slsp; (NEBIS)004060843EBI01; (IDSBB)002220846DSV01; 220404755; (swissbib)220404755-41slsp_network
990003036810108281,991089278319705501,(ABN)000303681ABN01,000303681-ABN01,(CH-ZuSLS)991089278319705501; (IDSBB)003601703DSV01; (NEBIS)006642886EBI01; 229392180; (swissbib)229392180-41slsp_network
990001101900108281,991094485889705501,(ABN)000110190ABN01,000110190-ABN01,(CH-ZuSLS)991094485889705501; (IDSBB)002305826DSV01; 035768940; (swissbib)035768940-41slsp_network
990000507260108281,991099384999705501,(ABN)000050726ABN01,000050726-ABN01,(CH-ZuSLS)991099384999705501; (NEBIS)005474408EBI01; 165822503; (swissbib)165822503-41slsp_network
990003405140108281,991076870479705501,(ABN)000340514ABN01,000340514-ABN01,(CH-ZuSLS)991076870479705501; (IDSBB)004414866DSV01; 053397894; (swissbib)053397894-41slsp_network
990008694490108281,991140588239705501,(ABN)000869449ABN01,000869449-ABN01,(CH-ZuSLS)991140588239705501; (OCoLC)1192507364; (NEBIS)011651322EBI01; (IDSBB)007222626DSV01; 218886861; (swissbib)218886861-41slsp_network
990007368060108281,991020171219705501,(ABN)000736806ABN01,000736806-ABN01,(CH-ZuSLS)991020171219705501; (OCoLC)864465724; (OCoLC)869887572; (IDSBB)007017243DSV01; (IDSLU)001133206ILU01; (NEBIS)010086495EBI01; 23053385X; (swissbib)23053385X-41slsp_network
